Truck Number,Claim Number,Scale Claim Cost,Scale Labor Cost
Truck 9724,Claim 92884,Low,Low
Truck 9730,Claim 92885,Low,Low
Truck 9727,Claim 92886,Low,Low
Truck 13230,Claim 92887,Low,Low
Truck 26805,Claim 92888,Low,Very Low
Truck 9118,Claim 92889,Low,Very Low
Truck 9118,Claim 92890,Low,Very Low
Truck 262,Claim 92891,Low,Very Low
Truck 14029,Claim 92892,Low,Very Low
Truck 17694,Claim 92893,Low,Very Low
Truck 22002,Claim 92894,Low,Very Low
Truck 3217,Claim 92895,Low,Very Low
Truck 8003,Claim 92896,Low,Very Low
Truck 19659,Claim 92897,Low,Very Low
Truck 24362,Claim 92898,Low,Very Low
Truck 14044,Claim 92899,Low,Very Low
Truck 9188,Claim 92900,Low,Very Low
Truck 14047,Claim 92901,Low,Very Low
Truck 14042,Claim 92902,Low,Very Low
Truck 14048,Claim 92903,Low,Very Low
Truck 14040,Claim 92904,Low,Very Low
Truck 461,Claim 92905,Low,Very Low
Truck 10290,Claim 92906,Low,Very Low
Truck 27286,Claim 92907,Low,Very Low
Truck 12119,Claim 92908,Low,Very Low
Truck 28595,Claim 92909,Low,Very Low
Truck 14034,Claim 92910,Low,Very Low
Truck 14049,Claim 92911,Low,Very Low
Truck 14038,Claim 92912,Low,Very Low
Truck 34871,Claim 92913,Low,Very Low
Truck 26725,Claim 92914,Low,Very Low
Truck 14045,Claim 92915,Low,Very Low
Truck 33016,Claim 92916,Low,Very Low
Truck 3256,Claim 92917,Low,Very Low
Truck 45231,Claim 92918,Low,Very Low
Truck 44033,Claim 92919,Low,Very Low
Truck 3199,Claim 92920,Low,Very Low
Truck 12151,Claim 92921,Low,Very Low
Truck 6865,Claim 92922,Low,Very Low
Truck 14033,Claim 92923,Low,Very Low
Truck 14035,Claim 92924,Low,Very Low
Truck 24319,Claim 92925,Low,Low
Truck 12119,Claim 92926,Low,Low
Truck 7149,Claim 92927,Low,Low
Truck 9177,Claim 92928,Low,Low
Truck 30571,Claim 92929,Low,Low
Truck 19163,Claim 92930,Low,Low
Truck 32182,Claim 92931,Low,Low
Truck 24839,Claim 92932,Low,Low
Truck 10064,Claim 92933,Low,Low
Truck 20392,Claim 92934,Low,Low
Truck 24250,Claim 92935,Low,Low
Truck 32633,Claim 92936,Low,Low
Truck 37686,Claim 92937,Low,Low
Truck 6888,Claim 92938,Low,Low
Truck 38576,Claim 92939,Low,Low
Truck 38713,Claim 92940,Low,Low
Truck 10927,Claim 92941,Low,Low
Truck 26539,Claim 92942,Low,Low
Truck 10928,Claim 92943,Low,Low
Truck 6686,Claim 92944,Low,Low
Truck 6173,Claim 92945,Low,Low
Truck 15594,Claim 92946,Low,Low
Truck 30964,Claim 92947,Low,Low
Truck 42317,Claim 92948,Low,Very Low
Truck 14702,Claim 92949,Low,Very Low
Truck 19610,Claim 92950,Low,Low
Truck 38842,Claim 92951,Low,Low
Truck 8921,Claim 92952,Low,Low
Truck 37654,Claim 92953,Low,Low
Truck 40939,Claim 92954,Low,Low
Truck 41601,Claim 92955,Low,Very Low
Truck 42178,Claim 92956,Low,Low
Truck 23567,Claim 92957,Low,Very Low
Truck 7172,Claim 92958,Low,Low
Truck 41074,Claim 92959,Low,Low
Truck 34869,Claim 92960,Low,Low
Truck 13930,Claim 92961,Low,Low
Truck 13960,Claim 92962,Low,Low
Truck 31530,Claim 92963,Low,Low
Truck 4265,Claim 92964,Low,Low
Truck 31983,Claim 92965,Low,Low
Truck 21946,Claim 92966,Low,Low
Truck 21099,Claim 92967,Low,Very Low
Truck 43750,Claim 92968,Low,Very Low
Truck 3213,Claim 92969,Low,Very Low
Truck 35401,Claim 92970,Low,Very Low
Truck 19563,Claim 92971,Low,Low
Truck 30181,Claim 92972,Low,Low
Truck 3011,Claim 92973,Low,Low
Truck 25417,Claim 92974,Low,Low
Truck 32459,Claim 92975,Low,Low
Truck 2895,Claim 92976,Low,Low
Truck 32462,Claim 92977,Low,Low
Truck 25763,Claim 92978,Low,Low
Truck 38112,Claim 92979,Low,Low
Truck 46511,Claim 92980,Low,Low
Truck 1865,Claim 92981,Low,Low
Truck 10739,Claim 92982,Low,Low
Truck 31852,Claim 92983,Low,Low
Truck 6851,Claim 92984,Low,Low
Truck 3014,Claim 92985,Low,Very Low
Truck 6314,Claim 92986,Low,Low
Truck 21949,Claim 92987,Low,Low
Truck 19354,Claim 92988,Low,Low
Truck 1035,Claim 92989,Low,Low
Truck 35418,Claim 92990,Low,Low
Truck 37083,Claim 92991,Medium,Medium
Truck 41154,Claim 92992,Low,Very Low
Truck 4697,Claim 92993,Low,Very Low
Truck 13979,Claim 92994,Low,Low
Truck 1100,Claim 92995,Low,Very Low
Truck 1110,Claim 92996,Low,Low
Truck 42941,Claim 92997,Low,Low
Truck 32532,Claim 92998,Low,Low
Truck 21856,Claim 92999,Low,Very Low
Truck 27285,Claim 93000,Low,Very Low
Truck 27311,Claim 93001,Low,Very Low
Truck 39499,Claim 93002,Low,Low
Truck 39222,Claim 93003,Low,Low
Truck 20991,Claim 93004,Low,Very Low
Truck 34905,Claim 93005,Low,Very Low
Truck 410,Claim 93006,Low,Very Low
Truck 23840,Claim 93007,Low,Low
Truck 30529,Claim 93008,Low,Low
Truck 548,Claim 93009,Low,Low
Truck 14941,Claim 93010,Low,Low
Truck 30237,Claim 93011,Low,Very Low
Truck 33865,Claim 93012,Low,Very Low
Truck 17454,Claim 93013,Low,Very Low
Truck 14846,Claim 93014,Low,Very Low
Truck 14844,Claim 93015,Low,Very Low
Truck 11601,Claim 93016,Low,Very Low
Truck 32986,Claim 93017,Low,Very Low
Truck 30156,Claim 93018,Low,Very Low
Truck 44996,Claim 93019,Low,Low
Truck 10377,Claim 93020,Low,Low
Truck 12514,Claim 93021,Low,Low
Truck 14913,Claim 93022,Low,Low
Truck 7260,Claim 93023,Low,Low
Truck 9259,Claim 93024,Low,Low
Truck 38611,Claim 93025,Low,Low
Truck 15455,Claim 93026,Low,Low
Truck 35535,Claim 93027,Low,Very Low
Truck 20214,Claim 93028,Low,Low
Truck 12796,Claim 93029,Low,Very Low
Truck 8547,Claim 93030,Low,Very Low
Truck 3221,Claim 93031,Low,Low
Truck 32535,Claim 93032,Low,Low
Truck 23066,Claim 93033,Low,Low
Truck 32922,Claim 93034,Low,Very Low
Truck 24240,Claim 93035,Low,Very Low
Truck 13145,Claim 93036,Low,Very Low
Truck 6656,Claim 93037,Low,Low
Truck 29404,Claim 93038,Low,Very Low
Truck 31549,Claim 93039,Low,Low
Truck 21077,Claim 93040,Low,Low
Truck 21091,Claim 93041,Low,Low
Truck 39191,Claim 93042,Low,Low
Truck 10751,Claim 93043,Low,Low
Truck 19243,Claim 93044,Low,Very Low
Truck 35774,Claim 93045,Low,Low
Truck 4391,Claim 93046,Low,Very Low
Truck 38947,Claim 93047,Low,Low
Truck 9638,Claim 93048,Low,Very Low
Truck 38980,Claim 93049,Low,Very Low
Truck 18417,Claim 93050,Low,Very Low
Truck 28158,Claim 93051,Low,Low
Truck 4777,Claim 93052,Low,Low
Truck 24481,Claim 93053,Low,Low
Truck 35759,Claim 93054,Low,Low
Truck 14817,Claim 93055,Low,Low
Truck 20192,Claim 93056,Low,Low
Truck 3491,Claim 93057,Low,Very Low
Truck 3209,Claim 93058,Low,Low
Truck 750,Claim 93059,Low,Very Low
Truck 7004,Claim 93060,Low,Low
Truck 43735,Claim 93061,Low,Low
Truck 7542,Claim 93062,Low,Very Low
Truck 20224,Claim 93063,Low,Low
Truck 25866,Claim 93064,Low,Very Low
Truck 41698,Claim 93065,Low,Low
Truck 17355,Claim 93066,Low,Very Low
Truck 17361,Claim 93067,Low,Very Low
Truck 19664,Claim 93068,Low,Very Low
Truck 17352,Claim 93069,Low,Very Low
Truck 4480,Claim 93070,Low,Low
Truck 43765,Claim 93071,Low,Low
Truck 32533,Claim 93072,Low,Low
Truck 9958,Claim 93073,Low,Low
Truck 33142,Claim 93074,Low,Low
Truck 38848,Claim 93075,Low,Very Low
Truck 18889,Claim 93076,Low,Low
Truck 47790,Claim 93077,Low,Low
Truck 21296,Claim 93078,Low,Very Low
Truck 27579,Claim 93079,Low,Low
Truck 21195,Claim 93080,Low,Low
Truck 46131,Claim 93081,Low,Low
Truck 21949,Claim 93082,Low,Low
Truck 32736,Claim 93083,Low,Low
Truck 32154,Claim 93084,Low,Low
Truck 42747,Claim 93085,Low,Low
Truck 42748,Claim 93086,Low,Low
Truck 42752,Claim 93087,Low,Low
Truck 11273,Claim 93088,Low,Low
Truck 3219,Claim 93089,Low,Low
Truck 47705,Claim 93090,Low,Low
Truck 27197,Claim 93091,Low,Low
Truck 38853,Claim 93092,Low,Very Low
Truck 39157,Claim 93093,Low,Very Low
Truck 3835,Claim 93094,Low,Low
Truck 33187,Claim 93095,Low,Low
Truck 20881,Claim 93096,Low,Very Low
Truck 12428,Claim 93097,Low,Low
Truck 28066,Claim 93098,Low,Low
Truck 3107,Claim 93099,Low,Low
Truck 8212,Claim 93100,Low,Low
Truck 22463,Claim 93101,Low,Low
Truck 1826,Claim 93102,Low,Very Low
Truck 41358,Claim 93103,Low,Very Low
Truck 24472,Claim 93104,Low,Low
Truck 32254,Claim 93105,Low,Low
Truck 32269,Claim 93106,Low,Low
Truck 45137,Claim 93107,Low,Very Low
Truck 31934,Claim 93108,Low,Very Low
Truck 29794,Claim 93109,Low,Very Low
Truck 29794,Claim 93110,Low,Very Low
Truck 33159,Claim 93111,Low,Very Low
Truck 32523,Claim 93112,Low,Very Low
Truck 32099,Claim 93113,Low,Very Low
Truck 35958,Claim 93114,Low,Very Low
Truck 16974,Claim 93115,Low,Very Low
Truck 37474,Claim 93116,Low,Very Low
Truck 12795,Claim 93117,Low,Very Low
Truck 16937,Claim 93118,Low,Low
Truck 16013,Claim 93119,Low,Low
Truck 23260,Claim 93120,Low,Low
Truck 32196,Claim 93121,Low,Low
Truck 32197,Claim 93122,Low,Low
Truck 37436,Claim 93123,Low,Low
Truck 17037,Claim 93124,Low,Low
Truck 32249,Claim 93125,Low,Low
Truck 35806,Claim 93126,Low,Low
Truck 41964,Claim 93127,Low,Low
Truck 10594,Claim 93128,Low,Low
Truck 17155,Claim 93129,Low,Low
Truck 32158,Claim 93130,Low,Low
Truck 32101,Claim 93131,Low,Low
Truck 32117,Claim 93132,Low,Low
Truck 35909,Claim 93133,Low,Low
Truck 32118,Claim 93134,Low,Low
Truck 17152,Claim 93135,Low,Low
Truck 32203,Claim 93136,Low,Low
Truck 32120,Claim 93137,Low,Low
Truck 32112,Claim 93138,Low,Low
Truck 32137,Claim 93139,Low,Low
Truck 8128,Claim 93140,Low,Low
Truck 14219,Claim 93141,Low,Low
Truck 36405,Claim 93142,Low,Low
Truck 4236,Claim 93143,Low,Very Low
Truck 47717,Claim 93144,Low,Very Low
Truck 28741,Claim 93145,Low,Very Low
Truck 13905,Claim 93146,Low,Low
Truck 26843,Claim 93147,Low,Low
Truck 28454,Claim 93148,High,High
Truck 3645,Claim 93149,Low,Low
Truck 10651,Claim 93150,Low,Low
Truck 35922,Claim 93151,Low,Low
Truck 16935,Claim 93152,Low,Low
Truck 27611,Claim 93153,Low,Very Low
Truck 44047,Claim 93154,Low,Low
Truck 5808,Claim 93155,Low,Low
Truck 20871,Claim 93156,Low,Very Low
Truck 19229,Claim 93157,Low,Low
Truck 8259,Claim 93158,Low,Low
Truck 19644,Claim 93159,Low,Low
Truck 40887,Claim 93160,Low,Low
Truck 16011,Claim 93161,Low,Low
Truck 22509,Claim 93162,Low,Low
Truck 5887,Claim 93163,Low,Very Low
Truck 46742,Claim 93164,Low,Low
Truck 38609,Claim 93165,Low,Low
Truck 2631,Claim 93166,Low,Very Low
Truck 32906,Claim 93167,Low,Low
Truck 41421,Claim 93168,Low,Very Low
Truck 14301,Claim 93169,Low,Low
Truck 17682,Claim 93170,Low,Low
Truck 4374,Claim 93171,Low,Low
Truck 31260,Claim 93172,Low,Low
Truck 10259,Claim 93173,Low,Low
Truck 10896,Claim 93174,Low,Low
Truck 43795,Claim 93175,Low,Very Low
Truck 8068,Claim 93176,Low,Very Low
Truck 31210,Claim 93177,Low,Low
Truck 16907,Claim 93178,Low,Very Low
Truck 16937,Claim 93179,Low,Low
Truck 24254,Claim 93180,Low,Very Low
Truck 10389,Claim 93181,Low,Low
Truck 39814,Claim 93182,Low,Very Low
Truck 23710,Claim 93183,Low,Low
Truck 20217,Claim 93184,Low,Low
Truck 21511,Claim 93185,Low,Very Low
Truck 16750,Claim 93186,Low,Very Low
Truck 32135,Claim 93187,Low,Low
Truck 10883,Claim 93188,Low,Low
Truck 23742,Claim 93189,Low,Very Low
Truck 31989,Claim 93190,Low,Low
Truck 42017,Claim 93191,Low,Low
Truck 32304,Claim 93192,Low,Very Low
Truck 6050,Claim 93193,Low,Low
Truck 9160,Claim 93194,Low,Very Low
Truck 42558,Claim 93195,Low,Very Low
Truck 35019,Claim 93196,Low,Low
Truck 47286,Claim 93197,Low,Low
Truck 30630,Claim 93198,Low,Low
Truck 31983,Claim 93199,Low,Low
Truck 23672,Claim 93200,Low,Low
Truck 7589,Claim 93201,Low,Low
Truck 21402,Claim 93202,Low,Low
Truck 24185,Claim 93203,Medium,Medium
Truck 17639,Claim 93204,Low,Very Low
Truck 4740,Claim 93205,Low,Very Low
Truck 17926,Claim 93206,Low,Low
Truck 43805,Claim 93207,Low,Low
Truck 36758,Claim 93208,Low,Very Low
Truck 23929,Claim 93209,Low,Low
Truck 47987,Claim 93210,Low,Low
Truck 25947,Claim 93211,Low,Low
Truck 31812,Claim 93212,Low,Low
Truck 4141,Claim 93213,Low,Low
Truck 34634,Claim 93214,Low,Low
Truck 30532,Claim 93215,Low,Low
Truck 17841,Claim 93216,Low,Very Low
Truck 36088,Claim 93217,Low,Low
Truck 23832,Claim 93218,Low,Low
Truck 27573,Claim 93219,Low,Low
Truck 39191,Claim 93220,Low,Low
Truck 33016,Claim 93221,Low,Low
Truck 34838,Claim 93222,Low,Very Low
Truck 27247,Claim 93223,Low,Very Low
Truck 18057,Claim 93224,Low,Low
Truck 31163,Claim 93225,Low,Low
Truck 37433,Claim 93226,Low,Low
Truck 32155,Claim 93227,Low,Low
Truck 32140,Claim 93228,Low,Low
Truck 32294,Claim 93229,Low,Low
Truck 41685,Claim 93230,Low,Low
Truck 17055,Claim 93231,Low,Low
Truck 32100,Claim 93232,Low,Low
Truck 41686,Claim 93233,Low,Low
Truck 32246,Claim 93234,Low,Low
Truck 37473,Claim 93235,Low,Low
Truck 32289,Claim 93236,Low,Low
Truck 44952,Claim 93237,Low,Low
Truck 40606,Claim 93238,Low,Low
Truck 41689,Claim 93239,Low,Low
Truck 31159,Claim 93240,Low,Low
Truck 40653,Claim 93241,Low,Very Low
Truck 35259,Claim 93242,Low,Low
Truck 32120,Claim 93243,Low,Low
Truck 32265,Claim 93244,Low,Low
Truck 32197,Claim 93245,Low,Low
Truck 32157,Claim 93246,Low,Low
Truck 32277,Claim 93247,Low,Low
Truck 32233,Claim 93248,Low,Low
Truck 32154,Claim 93249,Low,Low
Truck 32246,Claim 93250,Low,Low
Truck 32288,Claim 93251,Low,Low
Truck 33199,Claim 93252,Low,Low
Truck 33199,Claim 93253,Low,Low
Truck 16646,Claim 93254,Low,Low
Truck 32183,Claim 93255,Low,Low
Truck 30279,Claim 93256,Low,Low
Truck 30280,Claim 93257,Low,Low
Truck 12499,Claim 93258,Low,Low
Truck 35807,Claim 93259,Low,Low
Truck 44651,Claim 93260,Low,Very Low
Truck 14673,Claim 93261,Low,Very Low
Truck 430,Claim 93262,Low,Low
Truck 42627,Claim 93263,Low,Low
Truck 19300,Claim 93264,Low,Low
Truck 9978,Claim 93265,Low,Low
Truck 39074,Claim 93266,Low,Very Low
Truck 47030,Claim 93267,Low,Low
Truck 23207,Claim 93268,Low,Low
Truck 14308,Claim 93269,Low,Low
Truck 35904,Claim 93270,Low,Low
Truck 25706,Claim 93271,Low,Very Low
Truck 28484,Claim 93272,Low,Very Low
Truck 24255,Claim 93273,Low,Very Low
Truck 9776,Claim 93274,Low,Low
Truck 11881,Claim 93275,Low,Very Low
Truck 38374,Claim 93276,Low,Low
Truck 2374,Claim 93277,Low,Low
Truck 2931,Claim 93278,Low,Very Low
Truck 13457,Claim 93279,Low,Very Low
Truck 2319,Claim 93280,Low,Low
Truck 2374,Claim 93281,Low,Low
Truck 35052,Claim 93282,Low,Very Low
Truck 42117,Claim 93283,Low,Low
Truck 37188,Claim 93284,Low,Low
Truck 24254,Claim 93285,Low,Low
Truck 10545,Claim 93286,Low,Low
Truck 39603,Claim 93287,Low,Very Low
Truck 29344,Claim 93288,Low,Low
Truck 13678,Claim 93289,Low,Low
Truck 12359,Claim 93290,Low,Low
Truck 38610,Claim 93291,Low,Low
Truck 22691,Claim 93292,Low,Low
Truck 28418,Claim 93293,Low,Low
Truck 28355,Claim 93294,Low,Low
Truck 17436,Claim 93295,Low,Low
Truck 8063,Claim 93296,Low,Very Low
Truck 674,Claim 93297,Low,Very Low
Truck 10815,Claim 93298,Low,Low
Truck 14142,Claim 93299,Low,Very Low
Truck 14145,Claim 93300,Low,Low
Truck 14131,Claim 93301,Low,Low
Truck 4311,Claim 93302,Low,Very Low
Truck 16837,Claim 93303,Low,Low
Truck 44119,Claim 93304,Low,Very Low
Truck 9720,Claim 93305,Low,Low
Truck 9720,Claim 93306,Low,Low
Truck 19055,Claim 93307,Low,Very Low
Truck 23531,Claim 93308,Low,Low
Truck 32251,Claim 93309,Low,Low
Truck 35099,Claim 93310,Low,Low
Truck 23532,Claim 93311,Low,Low
Truck 544,Claim 93312,Low,Low
Truck 13612,Claim 93313,Low,Low
Truck 32202,Claim 93314,Low,Low
Truck 44381,Claim 93315,Low,Low
Truck 10929,Claim 93316,Low,Low
Truck 16760,Claim 93317,Low,Low
Truck 26485,Claim 93318,Low,Low
Truck 9377,Claim 93319,Low,Low
Truck 40433,Claim 93320,Low,Low
Truck 32612,Claim 93321,Low,Low
Truck 26962,Claim 93322,Low,Very Low
Truck 10225,Claim 93323,Low,Low
Truck 19667,Claim 93324,Low,Low
Truck 41219,Claim 93325,Low,Low
Truck 20398,Claim 93326,Low,Very Low
Truck 3102,Claim 93327,Low,Low
Truck 25361,Claim 93328,Low,Low
Truck 42974,Claim 93329,Low,Low
Truck 9101,Claim 93330,Low,Low
Truck 14681,Claim 93331,Low,Very Low
Truck 33197,Claim 93332,Low,Low
Truck 5836,Claim 93333,Low,Low
Truck 26607,Claim 93334,Low,Low
Truck 21126,Claim 93335,Low,Very Low
Truck 41195,Claim 93336,Low,Low
Truck 35803,Claim 93337,Low,Low
Truck 32216,Claim 93338,Low,Low
Truck 11354,Claim 93339,Low,Very Low
Truck 4642,Claim 93340,Low,Very Low
Truck 19234,Claim 93341,Low,Low
Truck 10185,Claim 93342,Low,Low
Truck 4208,Claim 93343,Low,Very Low
Truck 13104,Claim 93344,Low,Low
Truck 13100,Claim 93345,Low,Low
Truck 44279,Claim 93346,Low,Very Low
Truck 13835,Claim 93347,Low,Low
Truck 23710,Claim 93348,Low,Low
Truck 33237,Claim 93349,Low,Low
Truck 47636,Claim 93350,Low,Low
Truck 11196,Claim 93351,Low,Very Low
Truck 11167,Claim 93352,Low,Very Low
Truck 35805,Claim 93353,Low,Low
Truck 30415,Claim 93354,Low,Low
Truck 21554,Claim 93355,Low,Low
Truck 46242,Claim 93356,Low,Very Low
Truck 32142,Claim 93357,Low,Low
Truck 20135,Claim 93358,Low,Low
Truck 4268,Claim 93359,Low,Low
Truck 19574,Claim 93360,Low,Low
Truck 33087,Claim 93361,Low,Very Low
Truck 33768,Claim 93362,Low,Very Low
Truck 27156,Claim 93363,Low,Very Low
Truck 24270,Claim 93364,Low,Low
Truck 14224,Claim 93365,Low,Low
Truck 10482,Claim 93366,Low,Very Low
Truck 32148,Claim 93367,Low,Low
Truck 26917,Claim 93368,Low,Low
Truck 3204,Claim 93369,Low,Very Low
Truck 14000,Claim 93370,Low,Low
Truck 24755,Claim 93371,Low,Low
Truck 1691,Claim 93372,Low,Very Low
Truck 40723,Claim 93373,Low,Low
Truck 32275,Claim 93374,Low,Low
Truck 47768,Claim 93375,Low,Low
Truck 30159,Claim 93376,Low,Low
Truck 33172,Claim 93377,Low,Low
Truck 32110,Claim 93378,Low,Low
Truck 43029,Claim 93379,Low,Low
Truck 21398,Claim 93380,Low,Low
Truck 34788,Claim 93381,Low,Low
Truck 13696,Claim 93382,Low,Very Low
Truck 14263,Claim 93383,Low,Very Low
Truck 20616,Claim 93384,Low,Very Low
Truck 25963,Claim 93385,Low,Very Low
Truck 27181,Claim 93386,Low,Very Low
Truck 19441,Claim 93387,Low,Low
Truck 25650,Claim 93388,Low,Very Low
Truck 4200,Claim 93389,Low,Low
Truck 29790,Claim 93390,Low,Low
Truck 23563,Claim 93391,Low,Very Low
Truck 29093,Claim 93392,Low,Low
Truck 35260,Claim 93393,Low,Low
Truck 32157,Claim 93394,Low,Low
Truck 12076,Claim 93395,Low,Low
Truck 14005,Claim 93396,Low,Very Low
Truck 24444,Claim 93397,Low,Low
Truck 17356,Claim 93398,Low,Very Low
Truck 9187,Claim 93399,Low,Low
Truck 28031,Claim 93400,Low,Low
Truck 31999,Claim 93401,Low,Very Low
Truck 5846,Claim 93402,Low,Low
Truck 32531,Claim 93403,Low,Low
Truck 10398,Claim 93404,Low,Low
Truck 3470,Claim 93405,Medium,Medium
Truck 25332,Claim 93406,Low,Low
Truck 37242,Claim 93407,Low,Very Low
Truck 2736,Claim 93408,Low,Low
Truck 13939,Claim 93409,Medium,Medium
Truck 39451,Claim 93410,Low,Very Low
Truck 40076,Claim 93411,Low,Low
Truck 17580,Claim 93412,Low,Low
Truck 30280,Claim 93413,Low,Low
Truck 39096,Claim 93414,Low,Low
Truck 9331,Claim 93415,Low,Low
Truck 42427,Claim 93416,Low,Very Low
Truck 27204,Claim 93417,Low,Low
Truck 22988,Claim 93418,Low,Low
Truck 32306,Claim 93419,Low,Low
Truck 32101,Claim 93420,Low,Low
Truck 32291,Claim 93421,Low,Low
Truck 43800,Claim 93422,Low,Low
Truck 15034,Claim 93423,Low,Low
Truck 38836,Claim 93424,Low,Low
Truck 1022,Claim 93425,Low,Low
Truck 4143,Claim 93426,Low,Low
Truck 32101,Claim 93427,Low,Low
Truck 1415,Claim 93428,Low,Low
Truck 23960,Claim 93429,Low,Low
Truck 23860,Claim 93430,Low,Low
Truck 33113,Claim 93431,Low,Low
Truck 24374,Claim 93432,Low,Very Low
Truck 38852,Claim 93433,Low,Low
Truck 45755,Claim 93434,Low,Low
Truck 31770,Claim 93435,Low,Low
Truck 32168,Claim 93436,Low,Low
Truck 3266,Claim 93437,Low,Very Low
Truck 9297,Claim 93438,Low,Low
Truck 12865,Claim 93439,Low,Very Low
Truck 36709,Claim 93440,Low,Low
Truck 8082,Claim 93441,Low,Low
Truck 2877,Claim 93442,Low,Very Low
Truck 3742,Claim 93443,Low,Very Low
Truck 37650,Claim 93444,Low,Very Low
Truck 13695,Claim 93445,Low,Low
Truck 10608,Claim 93446,Low,Low
Truck 32463,Claim 93447,Low,Very Low
Truck 7677,Claim 93448,Low,Low
Truck 26277,Claim 93449,Low,Very Low
Truck 27045,Claim 93450,Low,Low
Truck 21050,Claim 93451,Low,Low
Truck 19635,Claim 93452,Low,Low
Truck 21168,Claim 93453,Low,Very Low
Truck 13093,Claim 93454,Low,Very Low
Truck 24691,Claim 93455,Low,Very Low
Truck 43348,Claim 93456,Low,Very Low
Truck 20579,Claim 93457,Low,Very Low
Truck 13798,Claim 93458,Low,Very Low
Truck 28177,Claim 93459,Low,Low
Truck 3093,Claim 93460,Low,Low
Truck 7207,Claim 93461,Low,Low
Truck 7160,Claim 93462,Low,Low
Truck 7195,Claim 93463,Low,Low
Truck 7212,Claim 93464,Low,Low
Truck 43366,Claim 93465,Low,Low
Truck 14147,Claim 93466,Low,Low
Truck 12914,Claim 93467,Low,Low
Truck 4468,Claim 93468,Low,Low
Truck 19679,Claim 93469,Low,Low
Truck 19654,Claim 93470,Low,Low
Truck 3041,Claim 93471,Low,Low
Truck 19048,Claim 93472,Low,Low
Truck 7185,Claim 93473,Low,Low
Truck 7161,Claim 93474,Low,Low
Truck 3104,Claim 93475,Low,Low
Truck 17348,Claim 93476,Low,Low
Truck 14999,Claim 93477,Low,Low
Truck 38153,Claim 93478,Low,Low
Truck 25123,Claim 93479,Low,Low
Truck 34246,Claim 93480,Low,Low
Truck 3927,Claim 93481,Low,Low
Truck 10913,Claim 93482,Low,Low
Truck 40701,Claim 93483,Low,Low
Truck 10906,Claim 93484,Low,Low
Truck 13036,Claim 93485,Low,Low
Truck 38235,Claim 93486,Low,Low
Truck 28286,Claim 93487,Low,Low
Truck 9208,Claim 93488,Low,Low
Truck 17227,Claim 93489,Low,Low
Truck 18855,Claim 93490,Low,Low
Truck 17221,Claim 93491,Low,Low
Truck 17342,Claim 93492,Low,Low
Truck 13100,Claim 93493,Low,Low
Truck 24040,Claim 93494,Low,Low
Truck 13779,Claim 93495,Low,Low
Truck 44671,Claim 93496,Low,Low
Truck 25492,Claim 93497,Low,Low
Truck 28807,Claim 93498,Low,Low
Truck 9099,Claim 93499,Low,Low
Truck 29084,Claim 93500,Low,Low
Truck 29081,Claim 93501,Low,Low
Truck 29081,Claim 93502,Low,Low
Truck 29083,Claim 93503,Low,Low
Truck 29090,Claim 93504,Low,Low
Truck 29134,Claim 93505,Low,Low
Truck 29101,Claim 93506,Low,Low
Truck 29098,Claim 93507,Low,Low
Truck 11591,Claim 93508,Low,Low
Truck 8464,Claim 93509,Low,Low
Truck 19640,Claim 93510,Low,Low
Truck 15892,Claim 93511,Low,Low
Truck 31594,Claim 93512,Low,Low
Truck 28292,Claim 93513,Low,Low
Truck 28365,Claim 93514,Low,Low
Truck 4380,Claim 93515,Low,Low
Truck 24081,Claim 93516,Low,Low
Truck 25800,Claim 93517,Low,Low
Truck 6888,Claim 93518,Low,Low
